OrderDate,Region,Country,City,Salesperson,Channel,Category,Product,Quantity,UnitPrice,UnitCost
2024-12-13,LATAM,Argentina,Buenos Aires,Grace,Online,Office Supplies,Sticky Notes,7,80.13,38.61
2024-03-09,LATAM,Chile,Santiago,Ivan,Distributor,Furniture,Desk,2,383.6,287.97
2024-07-08,LATAM,Argentina,Buenos Aires,Bob,Distributor,Appliances,Blender,1,60.43,37.14
2024-08-10,LATAM,Mexico,CDMX,Carlos,Online,Office Supplies,Pen Set,4,233.93,150.09
2024-03-26,LATAM,Argentina,Buenos Aires,Bob,Distributor,Office Supplies,Notebook,8,83.46,41.04
2024-08-14,APAC,China,Beijing,Hiro,Distributor,Electronics,Tablet,2,15.98,10.22
2024-10-14,LATAM,Mexico,CDMX,Elena,Distributor,Appliances,Microwave,4,275.93,138.16
2024-05-21,LATAM,Argentina,Buenos Aires,Carlos,Store,Furniture,Desk,5,415.13,325.31
2024-04-02,LATAM,Mexico,CDMX,Hiro,Online,Office Supplies,Planner,8,295.86,165.78
2024-05-06,LATAM,Argentina,Buenos Aires,Diana,Store,Appliances,Blender,8,257.89,166.23
2024-12-13,APAC,Japan,Tokyo,Alice,Distributor,Appliances,Coffee Maker,8,437.34,338.0
2024-06-25,Europe,Germany,Berlin,Alice,Store,Electronics,Tablet,4,460.19,329.51
2024-05-27,LATAM,Mexico,CDMX,Carlos,Online,Electronics,Tablet,5,356.55,164.38
2024-06-20,APAC,India,Mumbai,Elena,Distributor,Electronics,Monitor,9,217.82,151.29
2024-06-06,LATAM,Mexico,CDMX,Ivan,Store,Furniture,Bookshelf,8,421.82,322.39
2024-02-20,North America,Canada,Vancouver,Alice,Distributor,Electronics,Smartphone,1,65.49,51.99
2024-12-20,North America,USA,New York,Frank,Store,Furniture,Desk,4,71.08,54.61
2024-01-05,Europe,Spain,Madrid,Elena,Online,Furniture,Lamp,6,264.23,168.19
2024-11-09,LATAM,Argentina,Buenos Aires,Bob,Distributor,Appliances,Blender,5,195.86,136.65
2024-05-18,APAC,Australia,Sydney,Elena,Online,Furniture,Office Chair,4,396.02,254.04
2024-02-17,Europe,UK,London,Alice,Store,Electronics,Headphones,3,205.1,126.13
2024-11-26,LATAM,Brazil,São Paulo,Frank,Store,Electronics,Smartphone,6,179.71,96.82
2024-09-23,Europe,Spain,Madrid,Alice,Online,Electronics,Monitor,2,460.04,292.05
2024-09-28,North America,Canada,Vancouver,Bob,Distributor,Furniture,Desk,3,131.63,83.07
2024-07-22,APAC,China,Beijing,Frank,Distributor,Appliances,Blender,4,215.27,164.88
2024-10-07,North America,USA,New York,Bob,Distributor,Office Supplies,Pen Set,1,392.44,200.55
2024-10-03,LATAM,Chile,Santiago,Elena,Store,Office Supplies,Pen Set,2,335.13,157.92
2024-10-09,North America,USA,New York,Julia,Distributor,Electronics,Monitor,4,234.9,146.32
2024-10-14,North America,USA,Los Angeles,Julia,Distributor,Electronics,Smartphone,6,51.82,41.39
2024-10-15,LATAM,Argentina,Buenos Aires,Grace,Online,Furniture,Bookshelf,1,156.8,82.16
2024-04-21,North America,USA,Los Angeles,Diana,Online,Office Supplies,Notebook,7,219.13,157.75
2024-01-14,North America,USA,New York,Julia,Distributor,Electronics,Tablet,1,27.91,16.43
2024-07-21,North America,USA,New York,Diana,Online,Furniture,Office Chair,8,297.85,154.17
2024-12-02,LATAM,Mexico,CDMX,Carlos,Distributor,Electronics,Laptop,3,232.11,141.53
2024-10-31,Europe,UK,London,Alice,Store,Office Supplies,Pen Set,1,206.37,128.75
2024-03-16,North America,USA,New York,Diana,Distributor,Appliances,Blender,4,99.14,73.83
2024-08-26,Europe,Spain,Madrid,Grace,Store,Office Supplies,Sticky Notes,7,379.09,192.93
2024-02-14,North America,USA,New York,Bob,Online,Office Supplies,Notebook,3,325.56,183.45
2024-09-08,Europe,UK,London,Ivan,Online,Appliances,Coffee Maker,7,489.68,360.36
2024-12-05,APAC,Japan,Tokyo,Alice,Distributor,Furniture,Desk,7,332.87,136.76
2024-10-15,North America,USA,New York,Grace,Store,Furniture,Office Chair,7,134.41,64.31
2024-11-03,Europe,Germany,Berlin,Grace,Store,Appliances,Microwave,8,61.01,43.93
2024-11-25,Europe,UK,London,Carlos,Distributor,Electronics,Smartphone,3,444.86,277.01
2024-12-03,LATAM,Mexico,CDMX,Ivan,Distributor,Appliances,Blender,8,58.73,29.2
2024-01-04,APAC,India,Mumbai,Hiro,Online,Furniture,Desk,8,405.36,318.23
2024-10-09,North America,USA,New York,Alice,Distributor,Office Supplies,Planner,4,337.36,162.61
2024-09-27,APAC,Australia,Sydney,Carlos,Store,Furniture,Lamp,7,449.2,182.02
2024-02-24,Europe,UK,London,Frank,Distributor,Furniture,Office Chair,7,370.59,273.96
2024-11-10,North America,Canada,Toronto,Julia,Online,Office Supplies,Notebook,3,295.69,168.12
2024-11-30,LATAM,Brazil,São Paulo,Frank,Store,Electronics,Smartphone,2,456.21,296.49
2024-03-31,LATAM,Chile,Santiago,Elena,Store,Appliances,Coffee Maker,2,187.9,77.73
2024-01-04,LATAM,Chile,Santiago,Hiro,Store,Appliances,Blender,4,315.83,178.05
2024-11-26,APAC,India,Mumbai,Hiro,Online,Furniture,Desk,9,223.7,115.83
2024-03-31,North America,Canada,Vancouver,Ivan,Distributor,Office Supplies,Planner,4,487.53,347.07
2024-11-13,North America,Canada,Toronto,Ivan,Store,Office Supplies,Planner,1,435.55,259.14
2024-07-13,Europe,Spain,Madrid,Alice,Store,Furniture,Desk,7,401.93,229.13
2024-08-22,APAC,Australia,Sydney,Julia,Online,Office Supplies,Notebook,3,261.1,181.9
2024-11-17,APAC,Japan,Tokyo,Diana,Distributor,Office Supplies,Planner,2,320.4,161.21
2024-10-30,North America,USA,Los Angeles,Hiro,Online,Office Supplies,Planner,6,326.08,185.44
2024-11-22,APAC,Australia,Sydney,Julia,Distributor,Office Supplies,Pen Set,2,143.43,58.43
2024-07-05,APAC,India,Mumbai,Grace,Store,Furniture,Office Chair,2,269.53,195.68
2024-10-03,North America,Canada,Vancouver,Frank,Store,Appliances,Coffee Maker,9,144.29,89.7
2024-01-23,LATAM,Brazil,São Paulo,Hiro,Online,Furniture,Bookshelf,9,253.76,174.61
2024-04-12,North America,USA,Los Angeles,Diana,Distributor,Appliances,Blender,5,15.39,7.0
2024-06-18,North America,USA,Los Angeles,Frank,Distributor,Electronics,Headphones,9,140.58,97.4
2024-09-05,North America,Canada,Toronto,Elena,Distributor,Electronics,Smartphone,2,304.25,202.63
2024-05-10,Europe,Spain,Madrid,Diana,Distributor,Appliances,Microwave,7,290.91,213.89
2024-05-06,North America,Canada,Toronto,Bob,Online,Electronics,Headphones,5,197.74,120.14
2024-09-02,Europe,Germany,Berlin,Carlos,Distributor,Office Supplies,Notebook,2,91.48,63.6
2024-02-03,Europe,Spain,Madrid,Diana,Store,Electronics,Monitor,3,54.27,38.44
2024-05-26,Europe,UK,London,Grace,Distributor,Office Supplies,Sticky Notes,5,420.17,241.55
2024-08-07,APAC,India,Mumbai,Bob,Store,Electronics,Headphones,4,362.33,187.99
2024-03-30,Europe,Spain,Madrid,Hiro,Online,Electronics,Monitor,3,475.16,265.45
2024-12-14,LATAM,Brazil,São Paulo,Hiro,Distributor,Appliances,Blender,8,469.05,325.07
2024-12-15,Europe,UK,London,Elena,Online,Office Supplies,Sticky Notes,1,142.26,87.62
2024-05-01,North America,Canada,Toronto,Bob,Online,Electronics,Tablet,3,301.59,126.84
2024-09-17,Europe,UK,London,Carlos,Store,Furniture,Office Chair,2,315.43,186.01
2024-02-20,Europe,France,Paris,Ivan,Online,Electronics,Headphones,9,46.82,32.37
2024-12-14,Europe,UK,London,Julia,Store,Appliances,Blender,9,355.41,227.22
2024-02-23,Europe,UK,London,Elena,Distributor,Electronics,Tablet,9,130.74,95.13
2024-03-21,North America,Canada,Vancouver,Julia,Online,Office Supplies,Planner,5,11.15,8.78
2024-04-08,APAC,India,Mumbai,Alice,Online,Furniture,Desk,6,299.21,162.89
2024-07-30,Europe,UK,London,Hiro,Store,Electronics,Tablet,1,77.04,60.1
2024-10-15,LATAM,Chile,Santiago,Diana,Online,Electronics,Monitor,7,265.44,115.38
2024-09-15,North America,USA,New York,Diana,Store,Appliances,Microwave,8,381.61,250.18
2024-04-26,LATAM,Chile,Santiago,Frank,Distributor,Office Supplies,Notebook,1,332.8,225.28
2024-03-03,APAC,China,Beijing,Frank,Distributor,Appliances,Coffee Maker,6,490.48,373.42
2024-04-05,North America,Canada,Toronto,Bob,Distributor,Office Supplies,Notebook,9,472.59,196.49
2024-08-16,LATAM,Argentina,Buenos Aires,Elena,Store,Furniture,Bookshelf,7,499.68,310.96
2024-11-13,Europe,UK,London,Julia,Distributor,Furniture,Office Chair,6,458.59,189.66
2024-04-20,North America,Canada,Vancouver,Hiro,Online,Office Supplies,Sticky Notes,5,368.2,175.65
2024-02-08,Europe,UK,London,Ivan,Distributor,Electronics,Smartphone,8,485.82,377.83
2024-05-31,APAC,China,Beijing,Diana,Online,Furniture,Bookshelf,2,375.08,158.27
2024-08-20,APAC,China,Beijing,Julia,Distributor,Furniture,Desk,3,166.36,121.7
2024-12-30,Europe,UK,London,Grace,Distributor,Appliances,Coffee Maker,1,328.58,179.36
2024-06-22,North America,USA,New York,Frank,Distributor,Appliances,Blender,2,443.65,271.56
2024-07-15,North America,USA,Los Angeles,Elena,Online,Office Supplies,Sticky Notes,7,208.2,130.95
2024-07-23,North America,Canada,Toronto,Hiro,Distributor,Electronics,Laptop,8,274.35,196.51
2024-03-26,Europe,Germany,Berlin,Alice,Store,Appliances,Blender,9,371.55,225.93
2024-09-08,APAC,Australia,Sydney,Hiro,Distributor,Appliances,Coffee Maker,2,21.96,16.43
2024-08-16,Europe,UK,London,Grace,Online,Office Supplies,Sticky Notes,7,100.88,55.85
2024-08-01,Europe,Germany,Berlin,Julia,Store,Appliances,Blender,3,44.31,17.89
2024-06-28,LATAM,Brazil,São Paulo,Hiro,Store,Electronics,Tablet,1,206.95,122.5
2024-08-23,LATAM,Brazil,São Paulo,Frank,Distributor,Electronics,Headphones,9,294.57,149.84
2024-04-08,Europe,France,Paris,Bob,Distributor,Office Supplies,Sticky Notes,9,386.45,219.16
2024-10-30,Europe,France,Paris,Diana,Distributor,Appliances,Microwave,7,266.03,184.33
2024-08-25,North America,USA,Los Angeles,Alice,Online,Office Supplies,Pen Set,1,64.13,34.75
2024-07-21,North America,USA,Los Angeles,Elena,Store,Office Supplies,Pen Set,2,155.19,76.58
2024-02-22,APAC,Australia,Sydney,Julia,Distributor,Appliances,Microwave,9,145.86,111.46
2024-04-23,Europe,Spain,Madrid,Julia,Online,Furniture,Office Chair,9,63.64,35.43
2024-10-15,Europe,Spain,Madrid,Alice,Online,Electronics,Laptop,4,116.94,91.21
2024-12-11,APAC,China,Beijing,Ivan,Store,Electronics,Tablet,5,53.81,30.51
2024-07-24,APAC,China,Beijing,Bob,Store,Furniture,Bookshelf,8,443.26,283.83
2024-10-16,Europe,Spain,Madrid,Ivan,Store,Electronics,Monitor,2,91.85,73.16
2024-04-09,LATAM,Chile,Santiago,Grace,Online,Furniture,Lamp,8,471.94,311.41
2024-01-28,LATAM,Brazil,São Paulo,Bob,Store,Electronics,Headphones,5,417.01,186.88
2024-12-25,LATAM,Brazil,São Paulo,Alice,Online,Furniture,Lamp,2,198.2,82.19
2024-10-25,APAC,China,Beijing,Grace,Store,Office Supplies,Sticky Notes,3,414.84,298.81
2024-07-07,North America,USA,Los Angeles,Ivan,Store,Office Supplies,Planner,6,484.86,365.35
2024-10-09,North America,Canada,Toronto,Diana,Distributor,Furniture,Desk,3,302.66,184.63
2024-02-27,North America,Canada,Vancouver,Hiro,Distributor,Office Supplies,Sticky Notes,3,381.54,258.84
2024-02-04,LATAM,Argentina,Buenos Aires,Carlos,Online,Electronics,Monitor,8,449.74,263.26
2024-05-19,Europe,Spain,Madrid,Ivan,Online,Furniture,Desk,8,376.46,155.83
2024-08-23,North America,Canada,Toronto,Carlos,Distributor,Office Supplies,Planner,4,294.24,128.46
2024-01-01,APAC,Australia,Sydney,Elena,Online,Appliances,Microwave,9,201.67,102.69
2024-08-24,LATAM,Mexico,CDMX,Grace,Distributor,Appliances,Coffee Maker,9,31.74,23.52
2024-11-11,North America,Canada,Toronto,Diana,Distributor,Appliances,Microwave,9,171.24,132.31
2024-02-22,LATAM,Brazil,São Paulo,Hiro,Online,Electronics,Monitor,2,210.14,115.38
2024-10-25,North America,USA,New York,Grace,Store,Electronics,Monitor,8,350.9,147.21
2024-05-01,North America,USA,Los Angeles,Julia,Distributor,Electronics,Headphones,2,49.71,24.26
2024-09-08,North America,USA,Los Angeles,Bob,Online,Electronics,Smartphone,5,495.82,210.53
2024-02-15,North America,Canada,Toronto,Carlos,Distributor,Furniture,Office Chair,3,414.09,223.25
2024-09-05,North America,Canada,Vancouver,Carlos,Store,Furniture,Bookshelf,2,276.45,206.18
2024-07-21,North America,Canada,Toronto,Hiro,Store,Appliances,Microwave,1,440.53,316.73
2024-11-18,Europe,France,Paris,Ivan,Store,Office Supplies,Notebook,8,130.19,60.27
2024-01-10,North America,Canada,Toronto,Ivan,Online,Furniture,Lamp,9,173.66,86.04
2024-09-29,APAC,China,Beijing,Carlos,Store,Furniture,Lamp,5,343.27,222.25
2024-07-13,Europe,France,Paris,Hiro,Store,Office Supplies,Planner,6,102.72,77.31
2024-05-25,LATAM,Brazil,São Paulo,Carlos,Distributor,Office Supplies,Planner,9,24.33,17.77
2024-02-17,LATAM,Brazil,São Paulo,Carlos,Store,Appliances,Microwave,5,374.32,173.8
2024-12-11,LATAM,Argentina,Buenos Aires,Elena,Online,Furniture,Lamp,4,282.53,198.52
2024-02-23,APAC,Japan,Tokyo,Grace,Online,Office Supplies,Planner,7,104.64,45.38
2024-06-09,Europe,Spain,Madrid,Grace,Online,Office Supplies,Pen Set,1,284.32,126.9
2024-01-09,Europe,Spain,Madrid,Diana,Store,Furniture,Office Chair,2,320.66,197.52
2024-01-01,Europe,UK,London,Diana,Distributor,Office Supplies,Planner,3,72.94,37.44
2024-08-11,Europe,UK,London,Bob,Online,Furniture,Lamp,7,275.22,216.1
2024-06-13,APAC,Australia,Sydney,Carlos,Online,Office Supplies,Sticky Notes,5,60.23,46.67
2024-01-08,LATAM,Brazil,São Paulo,Julia,Distributor,Electronics,Headphones,4,43.24,22.5
2024-02-13,LATAM,Brazil,São Paulo,Alice,Store,Office Supplies,Planner,1,387.78,265.02
2024-01-19,APAC,Australia,Sydney,Frank,Distributor,Office Supplies,Sticky Notes,6,179.48,116.37
2024-09-20,LATAM,Brazil,São Paulo,Bob,Store,Office Supplies,Planner,2,437.05,345.01
2024-01-14,APAC,Japan,Tokyo,Frank,Store,Electronics,Smartphone,4,327.31,208.74
2024-05-05,APAC,Australia,Sydney,Ivan,Online,Appliances,Coffee Maker,7,42.16,30.72
2024-12-26,North America,USA,Los Angeles,Ivan,Distributor,Furniture,Bookshelf,3,133.73,53.55
2024-04-10,APAC,Japan,Tokyo,Ivan,Store,Furniture,Lamp,2,144.08,115.1
2024-10-31,North America,USA,Los Angeles,Carlos,Online,Office Supplies,Pen Set,1,60.07,44.55
2024-01-12,Europe,UK,London,Carlos,Store,Furniture,Office Chair,7,414.7,215.37
2024-02-29,North America,USA,Los Angeles,Diana,Distributor,Appliances,Microwave,2,388.68,191.24
2024-03-20,APAC,China,Beijing,Alice,Distributor,Electronics,Monitor,3,475.92,219.12
2024-05-09,Europe,France,Paris,Diana,Store,Office Supplies,Pen Set,5,455.67,338.54
2024-07-08,North America,USA,Los Angeles,Elena,Distributor,Furniture,Office Chair,4,204.82,104.39
2024-06-27,APAC,Australia,Sydney,Frank,Online,Office Supplies,Notebook,3,162.86,86.04
2024-02-22,North America,Canada,Vancouver,Hiro,Online,Office Supplies,Notebook,6,122.68,59.53
2024-12-30,Europe,Germany,Berlin,Diana,Store,Electronics,Laptop,1,329.32,180.27
2024-02-06,APAC,India,Mumbai,Bob,Distributor,Appliances,Microwave,8,88.03,42.38
2024-06-17,LATAM,Argentina,Buenos Aires,Bob,Store,Furniture,Desk,5,85.29,49.59
2024-04-22,LATAM,Mexico,CDMX,Carlos,Distributor,Electronics,Headphones,2,382.9,249.07
2024-10-30,APAC,Australia,Sydney,Carlos,Distributor,Furniture,Desk,5,456.8,359.5
2024-04-01,Europe,UK,London,Frank,Online,Office Supplies,Planner,4,400.3,237.22
2024-02-02,North America,USA,Los Angeles,Diana,Online,Office Supplies,Notebook,7,71.34,48.1
2024-10-14,APAC,Japan,Tokyo,Julia,Online,Furniture,Bookshelf,4,283.62,139.04
2024-12-31,Europe,France,Paris,Julia,Distributor,Office Supplies,Sticky Notes,6,295.17,149.83
2024-05-15,LATAM,Mexico,CDMX,Grace,Distributor,Appliances,Blender,8,222.29,176.44
2024-03-25,LATAM,Argentina,Buenos Aires,Ivan,Distributor,Appliances,Coffee Maker,1,15.69,6.73
2024-05-24,North America,USA,New York,Carlos,Store,Appliances,Coffee Maker,2,245.17,156.91
2024-02-02,LATAM,Mexico,CDMX,Bob,Store,Furniture,Bookshelf,9,431.46,307.17
2024-04-03,North America,USA,Los Angeles,Julia,Distributor,Electronics,Laptop,8,364.9,255.31
2024-07-10,APAC,Australia,Sydney,Julia,Distributor,Appliances,Blender,9,128.6,102.19
2024-05-22,North America,Canada,Vancouver,Diana,Store,Appliances,Coffee Maker,6,312.9,213.08
2024-02-11,LATAM,Mexico,CDMX,Elena,Distributor,Office Supplies,Planner,8,14.79,7.85
2024-11-09,North America,Canada,Vancouver,Grace,Distributor,Furniture,Office Chair,2,271.78,204.65
2024-04-09,APAC,China,Beijing,Frank,Online,Appliances,Coffee Maker,1,414.01,224.86
2024-04-08,LATAM,Brazil,São Paulo,Alice,Store,Office Supplies,Notebook,7,75.03,47.05
2024-05-31,North America,Canada,Toronto,Hiro,Store,Appliances,Blender,2,412.51,171.8
2024-08-30,North America,USA,New York,Carlos,Online,Electronics,Headphones,1,476.26,214.17
2024-05-15,North America,USA,New York,Diana,Online,Office Supplies,Notebook,6,301.44,194.92
2024-07-08,Europe,Spain,Madrid,Ivan,Online,Office Supplies,Notebook,9,357.44,267.5
2024-07-23,LATAM,Argentina,Buenos Aires,Grace,Store,Furniture,Bookshelf,2,316.4,225.71
2024-11-10,LATAM,Chile,Santiago,Carlos,Distributor,Appliances,Coffee Maker,7,333.8,207.36
2024-04-14,Europe,Germany,Berlin,Ivan,Online,Electronics,Laptop,6,410.48,238.46
2024-12-29,North America,USA,Los Angeles,Julia,Distributor,Electronics,Laptop,3,29.97,13.95
2024-08-05,North America,Canada,Vancouver,Hiro,Store,Furniture,Desk,2,39.57,19.74
2024-09-02,North America,USA,Los Angeles,Diana,Online,Furniture,Lamp,9,437.17,213.2
2024-12-26,Europe,Spain,Madrid,Julia,Online,Electronics,Smartphone,7,240.39,167.72
2024-12-15,North America,Canada,Toronto,Julia,Store,Furniture,Lamp,7,222.49,92.88
2024-12-20,North America,Canada,Toronto,Grace,Distributor,Office Supplies,Notebook,2,20.22,13.37
2024-04-08,LATAM,Mexico,CDMX,Grace,Store,Office Supplies,Sticky Notes,5,498.2,393.54
2024-07-21,Europe,Germany,Berlin,Elena,Online,Appliances,Blender,3,49.95,28.04
2024-04-22,APAC,Australia,Sydney,Julia,Distributor,Office Supplies,Planner,6,25.02,12.59
2024-12-31,Europe,UK,London,Frank,Store,Office Supplies,Pen Set,1,435.45,300.84
2024-04-20,LATAM,Brazil,São Paulo,Carlos,Store,Appliances,Microwave,8,218.49,117.63
2024-08-05,Europe,Spain,Madrid,Frank,Distributor,Furniture,Office Chair,4,257.37,158.88
2024-05-27,Europe,UK,London,Hiro,Online,Appliances,Microwave,3,293.55,168.92
2024-11-06,North America,USA,Los Angeles,Frank,Distributor,Appliances,Blender,5,203.8,130.94
2024-07-20,Europe,UK,London,Frank,Online,Office Supplies,Sticky Notes,2,398.55,263.84
2024-09-21,APAC,India,Mumbai,Carlos,Distributor,Appliances,Microwave,3,300.25,229.67
2024-05-24,APAC,India,Mumbai,Alice,Online,Electronics,Monitor,3,315.25,205.74
2024-07-03,Europe,Germany,Berlin,Hiro,Online,Appliances,Blender,1,74.47,51.11
2024-01-29,APAC,Japan,Tokyo,Bob,Distributor,Appliances,Coffee Maker,7,319.94,175.69
2024-02-27,North America,Canada,Vancouver,Grace,Online,Appliances,Blender,2,98.68,73.2
2024-11-09,APAC,Japan,Tokyo,Carlos,Store,Office Supplies,Pen Set,9,131.14,98.13
2024-02-18,LATAM,Mexico,CDMX,Ivan,Online,Appliances,Microwave,8,293.91,195.46
2024-05-16,North America,USA,Los Angeles,Carlos,Distributor,Electronics,Monitor,7,90.13,50.15
2024-09-15,LATAM,Chile,Santiago,Diana,Online,Electronics,Monitor,9,205.53,152.75
2024-10-09,APAC,Japan,Tokyo,Frank,Online,Office Supplies,Sticky Notes,5,169.34,120.13
2024-07-23,North America,Canada,Vancouver,Diana,Online,Electronics,Headphones,8,204.36,101.12
2024-10-12,North America,USA,New York,Frank,Online,Electronics,Tablet,3,226.59,120.63
2024-11-14,APAC,Japan,Tokyo,Ivan,Online,Office Supplies,Notebook,9,221.13,110.45
2024-08-07,APAC,Australia,Sydney,Grace,Store,Office Supplies,Pen Set,1,133.74,72.71
2024-11-30,North America,USA,Los Angeles,Julia,Online,Appliances,Blender,9,306.71,166.45
2024-02-21,Europe,Spain,Madrid,Grace,Store,Office Supplies,Pen Set,5,393.08,268.14
2024-12-06,APAC,India,Mumbai,Hiro,Online,Electronics,Smartphone,8,296.82,221.82
2024-09-09,APAC,Japan,Tokyo,Hiro,Distributor,Electronics,Laptop,4,142.18,60.12
2024-02-23,LATAM,Brazil,São Paulo,Hiro,Store,Electronics,Tablet,5,468.94,194.96
2024-12-03,North America,Canada,Vancouver,Frank,Distributor,Office Supplies,Pen Set,7,120.1,56.69
2024-01-21,LATAM,Mexico,CDMX,Alice,Distributor,Electronics,Tablet,5,60.62,38.43
2024-09-21,North America,Canada,Toronto,Elena,Online,Appliances,Coffee Maker,4,493.45,387.88
2024-09-14,Europe,UK,London,Diana,Store,Furniture,Lamp,2,168.33,132.85
2024-11-21,Europe,France,Paris,Elena,Online,Electronics,Headphones,7,232.82,141.14
2024-01-01,LATAM,Brazil,São Paulo,Ivan,Distributor,Electronics,Laptop,2,177.9,109.03
2024-05-17,LATAM,Chile,Santiago,Frank,Online,Appliances,Blender,7,24.69,12.92
2024-04-10,APAC,Australia,Sydney,Ivan,Store,Office Supplies,Sticky Notes,2,108.91,72.9
2024-11-07,Europe,Germany,Berlin,Ivan,Distributor,Furniture,Desk,2,102.29,70.82
2024-08-03,LATAM,Mexico,CDMX,Elena,Distributor,Appliances,Microwave,6,435.39,205.01
2024-11-18,APAC,India,Mumbai,Grace,Online,Office Supplies,Notebook,2,334.2,264.5
2024-07-04,APAC,Australia,Sydney,Diana,Online,Furniture,Bookshelf,2,129.63,94.93
2024-04-04,Europe,Germany,Berlin,Ivan,Store,Electronics,Monitor,8,386.57,172.12
2024-12-14,APAC,Japan,Tokyo,Grace,Store,Electronics,Laptop,9,347.87,233.28
2024-05-17,North America,Canada,Toronto,Elena,Online,Office Supplies,Planner,3,471.03,344.2
2024-07-04,APAC,Australia,Sydney,Bob,Distributor,Furniture,Bookshelf,5,292.82,157.96
2024-09-24,North America,USA,Los Angeles,Hiro,Distributor,Office Supplies,Sticky Notes,2,499.71,209.52
2024-02-06,Europe,France,Paris,Bob,Store,Electronics,Headphones,9,434.55,346.48
2024-03-08,LATAM,Chile,Santiago,Carlos,Online,Furniture,Bookshelf,9,54.34,28.01
2024-08-29,North America,Canada,Toronto,Frank,Store,Appliances,Blender,4,328.75,232.12
2024-09-16,LATAM,Mexico,CDMX,Frank,Distributor,Office Supplies,Sticky Notes,4,337.12,243.78
2024-05-23,LATAM,Argentina,Buenos Aires,Ivan,Store,Furniture,Office Chair,2,440.17,231.92
2024-09-11,North America,USA,Los Angeles,Grace,Distributor,Office Supplies,Planner,1,68.9,42.57
2024-04-25,LATAM,Chile,Santiago,Grace,Store,Electronics,Monitor,9,170.91,111.45
2024-01-06,North America,USA,Los Angeles,Frank,Store,Appliances,Coffee Maker,7,286.09,157.97
2024-10-09,LATAM,Chile,Santiago,Bob,Online,Appliances,Coffee Maker,9,302.28,186.89
2024-02-13,North America,Canada,Toronto,Diana,Online,Office Supplies,Pen Set,3,121.36,52.1
2024-02-20,LATAM,Brazil,São Paulo,Alice,Distributor,Appliances,Blender,3,92.54,60.8
2024-09-08,APAC,India,Mumbai,Alice,Distributor,Appliances,Microwave,2,237.11,130.86
2024-04-08,APAC,China,Beijing,Grace,Store,Electronics,Monitor,8,264.35,156.41
2024-04-28,LATAM,Mexico,CDMX,Carlos,Store,Office Supplies,Planner,5,408.75,181.31
2024-05-28,APAC,Japan,Tokyo,Hiro,Store,Office Supplies,Planner,5,205.42,129.84
2024-03-02,Europe,UK,London,Hiro,Online,Appliances,Coffee Maker,4,307.87,217.34
2024-05-05,Europe,Germany,Berlin,Grace,Store,Appliances,Microwave,6,375.97,257.99
2024-09-09,Europe,Spain,Madrid,Julia,Store,Appliances,Microwave,5,105.93,42.69
2024-10-16,APAC,China,Beijing,Grace,Distributor,Appliances,Microwave,5,450.03,223.84
2024-02-26,APAC,China,Beijing,Julia,Store,Electronics,Monitor,3,39.53,30.59
2024-08-15,APAC,India,Mumbai,Julia,Distributor,Office Supplies,Notebook,6,105.33,49.14
