Fecha,Region,Producto,Ventas,Costos
2023-01-10,Este,C,75,280
2023-01-10,Este,D,157,193
2023-01-10,Oeste,A,198,40
2023-01-10,Oeste,B,147,97
2023-01-10,Oeste,C,213,285
2023-01-10,Oeste,D,232,59
2023-01-11,Norte,A,385,112
2023-01-11,Norte,B,436,89
2023-01-11,Norte,C,104,133
2023-01-11,Norte,D,355,166
2023-01-11,Sur,A,80,165
2023-01-11,Sur,B,191,76
2023-01-11,Sur,C,391,117
2023-01-11,Sur,D,87,297
2023-01-11,Este,A,283,280
2023-01-11,Este,B,424,77
2023-01-11,Este,C,165,246
2023-01-11,Este,D,140,40
2023-01-11,Oeste,A,160,240
2023-01-11,Oeste,B,108,168
2023-01-11,Oeste,C,381,204
2023-01-11,Oeste,D,485,268
2023-01-12,Norte,A,354,110
2023-01-12,Norte,B,420,168
2023-01-12,Norte,C,259,199
2023-01-12,Norte,D,386,111
2023-01-12,Sur,A,181,80
2023-01-12,Sur,B,494,33
2023-01-12,Sur,C,309,79
2023-01-12,Sur,D,418,239
2023-01-12,Este,A,434,173
2023-01-12,Este,B,236,73
2023-01-12,Este,C,138,284
2023-01-12,Este,D,415,180
2023-01-12,Oeste,A,406,190
2023-01-12,Oeste,B,475,31
2023-01-12,Oeste,C,337,167
2023-01-12,Oeste,D,429,104
2023-01-13,Norte,A,269,27
2023-01-13,Norte,B,214,235
2023-01-13,Norte,C,377,28
2023-01-13,Norte,D,451,66
2023-01-13,Sur,A,307,177
2023-01-13,Sur,B,268,212
2023-01-13,Sur,C,74,51
2023-01-13,Sur,D,135,116
2023-01-13,Este,A,374,152
2023-01-13,Este,B,55,143
2023-01-13,Este,C,359,212
2023-01-13,Este,D,488,177
2023-01-13,Oeste,A,94,221
2023-01-13,Oeste,B,433,211
2023-01-13,Oeste,C,272,263
2023-01-13,Oeste,D,450,59
2023-01-14,Norte,A,257,193
2023-01-14,Norte,B,59,45
2023-01-14,Norte,C,95,274
2023-01-14,Norte,D,427,137
2023-01-14,Sur,A,68,215
2023-01-14,Sur,B,278,61
2023-01-14,Sur,C,236,225
2023-01-14,Sur,D,309,293
2023-01-14,Este,A,469,237
2023-01-14,Este,B,258,57
2023-01-14,Este,C,109,111
2023-01-14,Este,D,473,41
2023-01-14,Oeste,A,460,75
2023-01-14,Oeste,B,200,193
2023-01-14,Oeste,C,284,235
2023-01-14,Oeste,D,112,174
2023-01-15,Norte,A,57,106
2023-01-15,Norte,B,367,229
2023-01-15,Norte,C,316,31
2023-01-15,Norte,D,489,22
2023-01-15,Sur,A,59,211
2023-01-15,Sur,B,222,135
2023-01-15,Sur,C,203,112
2023-01-15,Sur,D,481,73
2023-01-15,Este,A,226,178
2023-01-15,Este,B,207,245
2023-01-15,Este,C,147,132
2023-01-15,Este,D,443,232
2023-01-15,Oeste,A,57,86
2023-01-15,Oeste,B,492,149
2023-01-15,Oeste,C,158,107
2023-01-15,Oeste,D,454,299
2023-01-16,Norte,A,300,64
2023-01-16,Norte,B,348,141
2023-01-16,Norte,C,458,51
2023-01-16,Norte,D,358,121
2023-01-16,Sur,A,460,55
2023-01-16,Sur,B,174,179
2023-01-16,Sur,C,440,218
2023-01-16,Sur,D,72,201
2023-01-16,Este,A,499,163
2023-01-16,Este,B,392,80
2023-01-16,Este,C,310,48
2023-01-16,Este,D,135,67
2023-01-16,Oeste,A,483,220
2023-01-16,Oeste,B,242,254
2023-01-16,Oeste,C,339,115
2023-01-16,Oeste,D,465,177
2023-01-17,Norte,A,240,167
2023-01-17,Norte,B,211,87
2023-01-17,Norte,C,265,72
2023-01-17,Norte,D,111,58
2023-01-17,Sur,A,438,49
2023-01-17,Sur,B,333,297
2023-01-17,Sur,C,306,74
2023-01-17,Sur,D,463,172
2023-01-17,Este,A,139,35
2023-01-17,Este,B,127,69
2023-01-17,Este,C,420,281
2023-01-17,Este,D,418,207
2023-01-17,Oeste,A,454,77
2023-01-17,Oeste,B,490,141
2023-01-17,Oeste,C,156,199
2023-01-17,Oeste,D,302,226
2023-01-18,Norte,A,54,223
2023-01-18,Norte,B,176,21
2023-01-18,Norte,C,385,292
2023-01-18,Norte,D,349,57
2023-01-18,Sur,A,362,63
2023-01-18,Sur,B,418,122
2023-01-18,Sur,C,438,240
2023-01-18,Sur,D,401,159
2023-01-18,Este,A,482,42
2023-01-18,Este,B,438,90
2023-01-18,Este,C,87,228
2023-01-18,Este,D,250,277
2023-01-18,Oeste,A,62,123
2023-01-18,Oeste,B,289,235
2023-01-18,Oeste,C,192,74
2023-01-18,Oeste,D,461,167
2023-01-19,Norte,A,251,88
2023-01-19,Norte,B,149,243
2023-01-19,Norte,C,207,228
2023-01-19,Norte,D,299,81
2023-01-19,Sur,A,436,279
2023-01-19,Sur,B,252,43
2023-01-19,Sur,C,135,98
2023-01-19,Sur,D,487,113
2023-01-19,Este,A,118,134
2023-01-19,Este,B,298,156
2023-01-19,Este,C,257,201
2023-01-19,Este,D,227,166
2023-01-19,Oeste,A,408,242
2023-01-19,Oeste,B,149,132
2023-01-19,Oeste,C,227,221
2023-01-19,Oeste,D,100,43
2023-01-20,Norte,A,438,85
2023-01-20,Norte,B,306,91
2023-01-20,Norte,C,429,25
2023-01-20,Norte,D,339,222
2023-01-20,Sur,A,388,230
2023-01-20,Sur,B,69,285
2023-01-20,Sur,C,220,134
2023-01-20,Sur,D,126,248
2023-01-20,Este,A,382,44
2023-01-20,Este,B,473,261
2023-01-20,Este,C,221,246
2023-01-20,Este,D,222,282
2023-01-20,Oeste,A,484,41
2023-01-20,Oeste,B,115,36
2023-01-20,Oeste,C,188,257
2023-01-20,Oeste,D,479,290
2023-01-21,Norte,A,282,76
2023-01-21,Norte,B,81,112
2023-01-21,Norte,C,117,22
2023-01-21,Norte,D,51,148
2023-01-21,Sur,A,173,96
2023-01-21,Sur,B,207,173
2023-01-21,Sur,C,107,66
2023-01-21,Sur,D,90,218
2023-01-21,Este,A,444,250
2023-01-21,Este,B,91,212
2023-01-21,Este,C,297,52
2023-01-21,Este,D,192,228
2023-01-21,Oeste,A,348,41
2023-01-21,Oeste,B,332,276
2023-01-21,Oeste,C,385,96
2023-01-21,Oeste,D,149,85
2023-01-22,Norte,A,339,70
2023-01-22,Norte,B,225,155
2023-01-22,Norte,C,237,172
2023-01-22,Norte,D,394,254
2023-01-22,Sur,A,97,152
2023-01-22,Sur,B,399,267
2023-01-22,Sur,C,340,190
2023-01-22,Sur,D,473,52
2023-01-22,Este,A,149,266
2023-01-22,Este,B,354,239
2023-01-22,Este,C,360,101
2023-01-22,Este,D,286,87
2023-01-22,Oeste,A,350,237
2023-01-22,Oeste,B,378,183
2023-01-22,Oeste,C,116,34
2023-01-22,Oeste,D,480,273
2023-01-23,Norte,A,349,94
2023-01-23,Norte,B,187,229
2023-01-23,Norte,C,106,255
2023-01-23,Norte,D,131,281
2023-01-23,Sur,A,117,222
2023-01-23,Sur,B,431,293
2023-01-23,Sur,C,210,197
2023-01-23,Sur,D,164,185
2023-01-23,Este,A,372,157
2023-01-23,Este,B,412,95
2023-01-23,Este,C,178,297
2023-01-23,Este,D,317,65
2023-01-23,Oeste,A,234,178
2023-01-23,Oeste,B,441,140
2023-01-23,Oeste,C,455,213
2023-01-23,Oeste,D,171,20
2023-01-24,Norte,A,258,206
2023-01-24,Norte,B,237,175
2023-01-24,Norte,C,368,20
2023-01-24,Norte,D,171,205
2023-01-24,Sur,A,344,236
2023-01-24,Sur,B,100,36
2023-01-24,Sur,C,74,31
2023-01-24,Sur,D,437,29
2023-01-24,Este,A,366,136
2023-01-24,Este,B,420,221
2023-01-24,Este,C,306,287
2023-01-24,Este,D,114,24
2023-01-24,Oeste,A,170,272
2023-01-24,Oeste,B,400,27
2023-01-24,Oeste,C,345,86
2023-01-24,Oeste,D,217,280
2023-01-25,Norte,A,205,102
2023-01-25,Norte,B,158,273
2023-01-25,Norte,C,106,200
2023-01-25,Norte,D,121,124
2023-01-25,Sur,A,239,230
2023-01-25,Sur,B,297,152
2023-01-25,Sur,C,492,39
2023-01-25,Sur,D,201,164
2023-01-25,Este,A,181,256
2023-01-25,Este,B,111,263
2023-01-25,Este,C,179,30
2023-01-25,Este,D,477,260
2023-01-25,Oeste,A,354,278
2023-01-25,Oeste,B,252,277
2023-01-25,Oeste,C,467,131
2023-01-25,Oeste,D,414,65
2023-01-26,Norte,A,261,195
2023-01-26,Norte,B,454,148
2023-01-26,Norte,C,462,41
2023-01-26,Norte,D,107,30
2023-01-26,Sur,A,296,157
2023-01-26,Sur,B,144,133
2023-01-26,Sur,C,270,225
2023-01-26,Sur,D,421,251
2023-01-26,Este,A,225,98
2023-01-26,Este,B,202,289
2023-01-26,Este,C,113,87
2023-01-26,Este,D,378,107
2023-01-26,Oeste,A,178,264
2023-01-26,Oeste,B,166,208
2023-01-26,Oeste,C,456,75
2023-01-26,Oeste,D,50,69
2023-01-27,Norte,A,334,77
2023-01-27,Norte,B,377,47
2023-01-27,Norte,C,317,106
2023-01-27,Norte,D,109,81
2023-01-27,Sur,A,484,258
2023-01-27,Sur,B,439,251
2023-01-27,Sur,C,140,133
2023-01-27,Sur,D,118,52
2023-01-27,Este,A,403,169
2023-01-27,Este,B,329,273
2023-01-27,Este,C,92,164
2023-01-27,Este,D,491,152
2023-01-27,Oeste,A,229,60
2023-01-27,Oeste,B,329,82
2023-01-27,Oeste,C,154,226
2023-01-27,Oeste,D,269,150
2023-01-28,Norte,A,262,162
2023-01-28,Norte,B,115,173
2023-01-28,Norte,C,120,88
2023-01-28,Norte,D,160,235
2023-01-28,Sur,A,292,178
2023-01-28,Sur,B,133,238
2023-01-28,Sur,C,375,124
2023-01-28,Sur,D,469,31
2023-01-28,Este,A,273,111
2023-01-28,Este,B,233,32
2023-01-28,Este,C,123,277
2023-01-28,Este,D,230,35
2023-01-28,Oeste,A,317,193
2023-01-28,Oeste,B,222,108
2023-01-28,Oeste,C,472,205
2023-01-28,Oeste,D,330,25
2023-01-29,Norte,A,439,78
2023-01-29,Norte,B,311,133
2023-01-29,Norte,C,180,87
2023-01-29,Norte,D,103,91
2023-01-29,Sur,A,171,40
2023-01-29,Sur,B,386,202
2023-01-29,Sur,C,341,150
2023-01-29,Sur,D,93,236
2023-01-29,Este,A,283,108
2023-01-29,Este,B,198,49
2023-01-29,Este,C,397,106
2023-01-29,Este,D,276,53
2023-01-29,Oeste,A,315,136
2023-01-29,Oeste,B,133,109
2023-01-29,Oeste,C,319,127
2023-01-29,Oeste,D,320,84
2023-01-30,Norte,A,333,37
2023-01-30,Norte,B,239,28
2023-01-30,Norte,C,347,184
2023-01-30,Norte,D,434,196
2023-01-30,Sur,A,321,140
2023-01-30,Sur,B,391,202
2023-01-30,Sur,C,118,138
2023-01-30,Sur,D,417,247
2023-01-30,Este,A,221,88
2023-01-30,Este,B,226,35
2023-01-30,Este,C,318,219
2023-01-30,Este,D,364,131
2023-01-30,Oeste,A,452,158
2023-01-30,Oeste,B,156,86
2023-01-30,Oeste,C,465,72
2023-01-30,Oeste,D,360,168
2023-01-31,Norte,A,478,117
2023-01-31,Norte,B,82,177
2023-01-31,Norte,C,55,41
2023-01-31,Norte,D,288,228
2023-01-31,Sur,A,361,159
2023-01-31,Sur,B,238,160
2023-01-31,Sur,C,163,126
2023-01-31,Sur,D,271,86
2023-01-31,Este,A,182,91
2023-01-31,Este,B,181,233
2023-01-31,Este,C,434,119
2023-01-31,Este,D,282,122
2023-01-31,Oeste,A,418,232
2023-01-31,Oeste,B,154,254
2023-01-31,Oeste,C,50,67
2023-01-31,Oeste,D,362,267
2023-02-01,Norte,A,134,260
2023-02-01,Norte,B,145,151
2023-02-01,Norte,C,170,155
2023-02-01,Norte,D,385,69
2023-02-01,Sur,A,253,202
2023-02-01,Sur,B,69,128
2023-02-01,Sur,C,116,175
2023-02-01,Sur,D,369,119
2023-02-01,Este,A,210,281
2023-02-01,Este,B,226,35
2023-02-01,Este,C,443,192
2023-02-01,Este,D,144,163
2023-02-01,Oeste,A,309,117
2023-02-01,Oeste,B,387,288
2023-02-01,Oeste,C,390,63
2023-02-01,Oeste,D,386,226
2023-02-02,Norte,A,267,81
2023-02-02,Norte,B,473,61
2023-02-02,Norte,C,354,224
2023-02-02,Norte,D,421,272
2023-02-02,Sur,A,260,97
2023-02-02,Sur,B,446,274
2023-02-02,Sur,C,226,115
2023-02-02,Sur,D,241,73
2023-02-02,Este,A,264,66
2023-02-02,Este,B,71,167
2023-02-02,Este,C,128,298
2023-02-02,Este,D,338,161
2023-02-02,Oeste,A,380,131
2023-02-02,Oeste,B,321,280
2023-02-02,Oeste,C,146,61
2023-02-02,Oeste,D,215,109
2023-02-03,Norte,A,75,269
2023-02-03,Norte,B,68,284
2023-02-03,Norte,C,285,28
2023-02-03,Norte,D,134,186
2023-02-03,Sur,A,236,80
2023-02-03,Sur,B,166,126
2023-02-03,Sur,C,319,291
2023-02-03,Sur,D,428,128
2023-02-03,Este,A,84,121
2023-02-03,Este,B,186,294
2023-02-03,Este,C,360,183
2023-02-03,Este,D,453,200
2023-02-03,Oeste,A,232,174
2023-02-03,Oeste,B,371,44
2023-02-03,Oeste,C,295,61
2023-02-03,Oeste,D,310,248
2023-02-04,Norte,A,360,177
2023-02-04,Norte,B,75,167
2023-02-04,Norte,C,410,210
2023-02-04,Norte,D,122,79
2023-02-04,Sur,A,200,103
2023-02-04,Sur,B,135,191
2023-02-04,Sur,C,465,138
2023-02-04,Sur,D,182,287
2023-02-04,Este,A,422,285
2023-02-04,Este,B,467,232
2023-02-04,Este,C,76,256
2023-02-04,Este,D,103,89
2023-02-04,Oeste,A,231,47
2023-02-04,Oeste,B,79,116
2023-02-04,Oeste,C,125,187
2023-02-04,Oeste,D,325,295
2023-02-05,Norte,A,323,271
2023-02-05,Norte,B,78,148
2023-02-05,Norte,C,79,279
2023-02-05,Norte,D,492,221
2023-02-05,Sur,A,206,26
2023-02-05,Sur,B,359,72
2023-02-05,Sur,C,108,192
2023-02-05,Sur,D,309,206
2023-02-05,Este,A,424,128
2023-02-05,Este,B,255,299
2023-02-05,Este,C,481,72
2023-02-05,Este,D,421,257
2023-02-05,Oeste,A,177,30
2023-02-05,Oeste,B,220,163
2023-02-05,Oeste,C,323,164
2023-02-05,Oeste,D,142,297
2023-02-06,Norte,A,225,59
2023-02-06,Norte,B,50,256
2023-02-06,Norte,C,169,136
2023-02-06,Norte,D,141,84
2023-02-06,Sur,A,313,89
2023-02-06,Sur,B,135,267
2023-02-06,Sur,C,400,293
2023-02-06,Sur,D,384,61
2023-02-06,Este,A,126,212
2023-02-06,Este,B,63,56
2023-02-06,Este,C,392,244
2023-02-06,Este,D,384,198
2023-02-06,Oeste,A,339,96
2023-02-06,Oeste,B,153,62
2023-02-06,Oeste,C,355,118
2023-02-06,Oeste,D,356,45
2023-02-07,Norte,A,418,85
2023-02-07,Norte,B,343,73
2023-02-07,Norte,C,299,182
2023-02-07,Norte,D,426,72
2023-02-07,Sur,A,420,67
2023-02-07,Sur,B,252,166
2023-02-07,Sur,C,481,66
2023-02-07,Sur,D,280,166
2023-02-07,Este,A,233,278
2023-02-07,Este,B,176,58
2023-02-07,Este,C,362,205
2023-02-07,Este,D,332,114
2023-02-07,Oeste,A,68,241
2023-02-07,Oeste,B,253,172
2023-02-07,Oeste,C,76,247
2023-02-07,Oeste,D,329,201
2023-02-08,Norte,A,324,281
2023-02-08,Norte,B,104,77
2023-02-08,Norte,C,169,155
2023-02-08,Norte,D,108,105
2023-02-08,Sur,A,366,227
2023-02-08,Sur,B,64,84
2023-02-08,Sur,C,166,219
2023-02-08,Sur,D,55,185
2023-02-08,Este,A,86,286
2023-02-08,Este,B,378,194
2023-02-08,Este,C,287,192
2023-02-08,Este,D,488,122
2023-02-08,Oeste,A,122,256
2023-02-08,Oeste,B,373,258
2023-02-08,Oeste,C,345,166
2023-02-08,Oeste,D,296,101
2023-02-09,Norte,A,152,186
2023-02-09,Norte,B,418,64
2023-02-09,Norte,C,183,257
2023-02-09,Norte,D,483,259
2023-02-09,Sur,A,330,241
2023-02-09,Sur,B,122,278
2023-02-09,Sur,C,245,136
2023-02-09,Sur,D,443,66
2023-02-09,Este,A,323,219
2023-02-09,Este,B,304,182
2023-02-09,Este,C,115,103
2023-02-09,Este,D,84,220
2023-02-09,Oeste,A,270,99
2023-02-09,Oeste,B,469,96
2023-02-09,Oeste,C,301,100
2023-02-09,Oeste,D,427,186
2023-02-10,Norte,A,388,180
2023-02-10,Norte,B,479,174
2023-02-10,Norte,C,236,278
2023-02-10,Norte,D,274,126
2023-02-10,Sur,A,226,269
2023-02-10,Sur,B,408,229
2023-02-10,Sur,C,455,252
2023-02-10,Sur,D,98,160
2023-02-10,Este,A,311,128
2023-02-10,Este,B,93,50
2023-02-10,Este,C,317,86
2023-02-10,Este,D,213,264
2023-02-10,Oeste,A,398,74
2023-02-10,Oeste,B,402,245
2023-02-10,Oeste,C,53,129
2023-02-10,Oeste,D,276,214
2023-02-11,Norte,A,482,182
2023-02-11,Norte,B,286,105
2023-02-11,Norte,C,218,28
2023-02-11,Norte,D,486,82
2023-02-11,Sur,A,497,217
2023-02-11,Sur,B,373,164
2023-02-11,Sur,C,244,191
2023-02-11,Sur,D,165,90
2023-02-11,Este,A,93,54
2023-02-11,Este,B,429,38
2023-02-11,Este,C,201,45
2023-02-11,Este,D,116,262
2023-02-11,Oeste,A,243,29
2023-02-11,Oeste,B,151,260
2023-02-11,Oeste,C,275,60
2023-02-11,Oeste,D,114,121
2023-02-12,Norte,A,486,214
2023-02-12,Norte,B,496,200
2023-02-12,Norte,C,158,223
2023-02-12,Norte,D,284,141
2023-02-12,Sur,A,377,96
2023-02-12,Sur,B,336,280
2023-02-12,Sur,C,476,267
2023-02-12,Sur,D,391,241
2023-02-12,Este,A,385,156
2023-02-12,Este,B,258,32
2023-02-12,Este,C,55,222
2023-02-12,Este,D,473,277
2023-02-12,Oeste,A,134,109
2023-02-12,Oeste,B,457,66
2023-02-12,Oeste,C,470,196
2023-02-12,Oeste,D,168,112
2023-02-13,Norte,A,470,60
2023-02-13,Norte,B,232,234
2023-02-13,Norte,C,204,230
2023-02-13,Norte,D,484,124
2023-02-13,Sur,A,307,128
2023-02-13,Sur,B,417,41
2023-02-13,Sur,C,356,99
2023-02-13,Sur,D,127,75
2023-02-13,Este,A,208,148
2023-02-13,Este,B,328,250
2023-02-13,Este,C,259,52
2023-02-13,Este,D,151,111
2023-02-13,Oeste,A,113,106
2023-02-13,Oeste,B,335,154
2023-02-13,Oeste,C,137,160
2023-02-13,Oeste,D,95,279
2023-02-14,Norte,A,472,299
2023-02-14,Norte,B,446,96
2023-02-14,Norte,C,463,102
2023-02-14,Norte,D,322,134
2023-02-14,Sur,A,275,177
2023-02-14,Sur,B,393,207
2023-02-14,Sur,C,375,176
2023-02-14,Sur,D,89,83
2023-02-14,Este,A,139,274
2023-02-14,Este,B,227,151
2023-02-14,Este,C,201,188
2023-02-14,Este,D,60,290
2023-02-14,Oeste,A,228,223
2023-02-14,Oeste,B,63,243
2023-02-14,Oeste,C,393,196
2023-02-14,Oeste,D,206,137
2023-02-15,Norte,A,477,284
2023-02-15,Norte,B,50,216
2023-02-15,Norte,C,317,220
2023-02-15,Norte,D,280,296
2023-02-15,Sur,A,167,268
2023-02-15,Sur,B,72,209
2023-02-15,Sur,C,171,149
2023-02-15,Sur,D,461,51
2023-02-15,Este,A,402,181
2023-02-15,Este,B,317,265
2023-02-15,Este,C,110,22
2023-02-15,Este,D,393,115
2023-02-15,Oeste,A,381,70
2023-02-15,Oeste,B,266,24
2023-02-15,Oeste,C,341,193
2023-02-15,Oeste,D,302,92
2023-02-16,Norte,A,265,102
2023-02-16,Norte,B,202,85
2023-02-16,Norte,C,63,298
2023-02-16,Norte,D,199,24
2023-02-16,Sur,A,145,184
2023-02-16,Sur,B,442,284
2023-02-16,Sur,C,384,263
2023-02-16,Sur,D,231,256
2023-02-16,Este,A,165,128
2023-02-16,Este,B,287,116
2023-02-16,Este,C,84,126
2023-02-16,Este,D,156,108
2023-02-16,Oeste,A,386,226
2023-02-16,Oeste,B,432,171
2023-02-16,Oeste,C,87,226
2023-02-16,Oeste,D,155,118
2023-02-17,Norte,A,264,43
2023-02-17,Norte,B,213,51
2023-02-17,Norte,C,329,31
2023-02-17,Norte,D,167,58
2023-02-17,Sur,A,247,66
2023-02-17,Sur,B,104,184
2023-02-17,Sur,C,61,20
2023-02-17,Sur,D,380,120
2023-02-17,Este,A,238,220
2023-02-17,Este,B,88,225
2023-02-17,Este,C,68,288
2023-02-17,Este,D,72,218
2023-02-17,Oeste,A,343,212
2023-02-17,Oeste,B,273,92
2023-02-17,Oeste,C,84,95
2023-02-17,Oeste,D,90,298
2023-02-18,Norte,A,365,292
2023-02-18,Norte,B,184,103
2023-02-18,Norte,C,53,258
2023-02-18,Norte,D,394,49
2023-02-18,Sur,A,182,212
2023-02-18,Sur,B,165,217
2023-02-18,Sur,C,200,274
2023-02-18,Sur,D,245,133
2023-02-18,Este,A,432,157
2023-02-18,Este,B,441,25
2023-02-18,Este,C,325,198
2023-02-18,Este,D,290,180
2023-02-18,Oeste,A,463,165
2023-02-18,Oeste,B,308,272
2023-02-18,Oeste,C,314,124
2023-02-18,Oeste,D,431,199
2023-02-19,Norte,A,367,171
2023-02-19,Norte,B,372,35
2023-02-19,Norte,C,345,58
2023-02-19,Norte,D,273,58
2023-02-19,Sur,A,272,22
2023-02-19,Sur,B,380,83
2023-02-19,Sur,C,244,245
2023-02-19,Sur,D,471,106
2023-02-19,Este,A,312,224
2023-02-19,Este,B,257,52
2023-02-19,Este,C,264,209
2023-02-19,Este,D,120,117
2023-02-19,Oeste,A,383,103
2023-02-19,Oeste,B,96,156
2023-02-19,Oeste,C,344,182
2023-02-19,Oeste,D,129,264
2023-02-20,Norte,A,422,24
2023-02-20,Norte,B,186,212
2023-02-20,Norte,C,254,27
2023-02-20,Norte,D,108,144
2023-02-20,Sur,A,167,103
2023-02-20,Sur,B,200,49
2023-02-20,Sur,C,383,191
2023-02-20,Sur,D,97,153
2023-02-20,Este,A,204,218
2023-02-20,Este,B,270,246
2023-02-20,Este,C,159,243
2023-02-20,Este,D,192,272
2023-02-20,Oeste,A,490,60
2023-02-20,Oeste,B,401,163
2023-02-20,Oeste,C,237,131
2023-02-20,Oeste,D,182,176
2023-02-21,Norte,A,267,226
2023-02-21,Norte,B,153,217
2023-02-21,Norte,C,435,164
2023-02-21,Norte,D,424,85
2023-02-21,Sur,A,261,165
